State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
California,06,45,"Congressional District 45 (119th Congress), California",741928,105531,934500,42.2,197062,13244,228616,511706
California,06,46,"Congressional District 46 (119th Congress), California",763396,90685,806700,35.3,163890,14557,498898,441593
California,06,47,"Congressional District 47 (119th Congress), California",756257,127773,1361700,39.1,388646,12318,125776,530920
California,06,48,"Congressional District 48 (119th Congress), California",768439,114972,794700,39.2,418511,24389,245154,541299
California,06,49,"Congressional District 49 (119th Congress), California",748243,121511,1133300,42.3,457904,17339,200215,549833
California,06,50,"Congressional District 50 (119th Congress), California",759815,121243,1190200,37.9,431547,25482,167732,562490
California,06,51,"Congressional District 51 (119th Congress), California",766304,113978,919900,36.5,372217,40660,199599,551266
California,06,52,"Congressional District 52 (119th Congress), California",756396,85163,755700,36.7,149809,59756,458813,480007
Colorado,08,1,"Congressional District 1 (119th Congress), Colorado",735987,93102,637200,35.4,422622,69897,208287,546325
Colorado,08,2,"Congressional District 2 (119th Congress), Colorado",728333,100659,721500,38.3,580258,7906,102686,575261
Colorado,08,3,"Congressional District 3 (119th Congress), Colorado",742698,71165,390500,42.9,562414,6516,197263,581662
Colorado,08,4,"Congressional District 4 (119th Congress), Colorado",789599,120070,629100,39.4,604820,16735,127516,578868
Colorado,08,5,"Congressional District 5 (119th Congress), Colorado",745409,91125,486500,35.4,509934,42818,147030,552477
Colorado,08,6,"Congressional District 6 (119th Congress), Colorado",730108,103252,587200,37.6,416241,79259,177643,510264
Colorado,08,7,"Congressional District 7 (119th Congress), Colorado",728241,104378,651600,41.1,566027,11109,117523,581503
Colorado,08,8,"Congressional District 8 (119th Congress), Colorado",757119,100033,498800,35.8,469795,19027,305000,526827
Connecticut,09,1,"Congressional District 1 (119th Congress), Connecticut",734950,85466,343300,40.1,422401,114067,147806,539798
Connecticut,09,2,"Congressional District 2 (119th Congress), Connecticut",731305,98155,382800,43.2,575320,27726,79206,575393
Connecticut,09,3,"Congressional District 3 (119th Congress), Connecticut",741529,91435,378400,40.2,453617,104145,145474,560647
Connecticut,09,4,"Congressional District 4 (119th Congress), Connecticut",739251,122642,704000,39.9,419105,78912,181278,492418
Connecticut,09,5,"Congressional District 5 (119th Congress), Connecticut",728034,92097,388900,43.1,470502,70508,153042,540244
Florida,12,1,"Congressional District 1 (119th Congress), Florida",817541,77014,338900,39.0,590552,99541,73263,618254
Florida,12,2,"Congressional District 2 (119th Congress), Florida",819004,66684,286000,39.0,524068,177130,69483,631774
Florida,12,3,"Congressional District 3 (119th Congress), Florida",845635,63348,279900,40.6,567085,110659,119700,653641
Florida,12,4,"Congressional District 4 (119th Congress), Florida",842213,76209,320200,39.6,437845,258006,92690,629219
Florida,12,5,"Congressional District 5 (119th Congress), Florida",852413,90333,457100,39.5,570117,93082,114156,627373
Florida,12,6,"Congressional District 6 (119th Congress), Florida",834806,65999,324800,48.7,598650,88096,120981,665945
Florida,12,7,"Congressional District 7 (119th Congress), Florida",813213,82897,386500,42.0,504358,83942,191019,617321
Florida,12,8,"Congressional District 8 (119th Congress), Florida",831434,78386,378100,48.0,603449,81224,113386,664472
Florida,12,9,"Congressional District 9 (119th Congress), Florida",909540,81134,401100,37.4,319820,113156,488990,574392
Florida,12,10,"Congressional District 10 (119th Congress), Florida",802532,72256,390600,35.9,312337,201642,260046,543191
Florida,12,11,"Congressional District 11 (119th Congress), Florida",893440,87147,418300,45.6,527816,112858,190488,669929
Florida,12,12,"Congressional District 12 (119th Congress), Florida",871072,68503,323100,46.5,660258,43535,144076,680412
Florida,12,13,"Congressional District 13 (119th Congress), Florida",762930,75904,393500,51.0,575455,48474,97404,622234
